Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
0_assembly	1	1	1	1	1	1	4640719	4640719	4640719	4640719	4640719	4640719	1	4640719	4640719	4641652	50.79	50.79	4640719	4640719	4640719	4640719	4640719.0	4639786.2	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	99.980	1.000	0.00	0.02	0.06	4640716	4640716	4640716	4640716	4640716	4640716	4640713.0	4639780.2	1	1	1	1
raven_assembly	1	1	1	1	1	1	4635257	4635257	4635257	4635257	4635257	4635257	1	4635257	4635257	4641652	50.79	50.79	4635257	4635257	4635257	4635257	4635257.0	4628870.8	1	1	1	1	0	0	0	0	0	0	0	0 + 0 part	0	99.843	1.000	0.00	15.53	149.85	4635257	4635257	4635257	4635257	4635257	4635257	4635257.0	4628870.8	1	1	1	1
