Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
0_assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	0	3
raven_assembly	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720	6946	6944	2	7829
